City_ID,city,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
264,Carutapera,BR,2022-01-24 17:13:13,-1.195,-46.02,84.16,58,100,7.83
265,Panama City,PA,2022-01-24 17:12:51,8.9936,-79.5197,89.55,51,40,18.41
266,Belmonte,BR,2022-01-24 17:13:13,-15.8631,-38.8828,84.7,61,82,10.0
267,Oksfjord,NO,2022-01-24 17:13:14,70.2396,22.3479,28.58,81,100,32.19
268,Quelimane,MZ,2022-01-24 17:13:14,-17.8786,36.8883,77.72,95,100,20.8
269,Haifa,IL,2022-01-24 17:14:14,32.8156,34.9892,52.74,47,75,4.61
270,Kutum,SD,2022-01-24 17:14:15,14.2,24.6667,69.84,15,10,9.13
271,Almaznyy,RU,2022-01-24 17:14:16,48.0448,40.045,17.74,96,100,10.11
272,Narsaq,GL,2022-01-24 17:14:16,60.9167,-46.05,23.81,95,100,8.1
273,Osoyoos,CA,2022-01-24 17:14:17,49.0331,-119.4524,37.99,89,56,4.27
274,Sur,OM,2022-01-24 17:14:17,22.5667,59.5289,69.08,63,0,11.18
275,Cockburn Town,TC,2022-01-24 17:14:17,21.4612,-71.1419,77.92,72,1,5.3
276,Iguatemi,BR,2022-01-24 17:14:18,-23.6803,-54.5611,98.15,35,72,1.48
277,Ciudad Bolivar,VE,2022-01-24 17:14:18,8.1222,-63.5497,91.2,38,42,8.12
278,Lipetsk,RU,2022-01-24 17:11:42,52.6031,39.5708,11.89,95,61,8.03
279,Ust-Shonosha,RU,2022-01-24 17:14:19,61.1531,41.343,22.64,92,100,13.76
280,Lavrentiya,RU,2022-01-24 17:14:19,65.5833,-171.0,5.59,93,100,4.47
281,Sharjah,AE,2022-01-24 17:12:15,25.3573,55.4033,67.98,54,0,0.0
282,Anadyr,RU,2022-01-24 17:14:20,64.75,177.4833,-32.22,99,23,6.06
283,Erzin,TR,2022-01-24 17:14:20,36.9559,36.2,39.72,77,30,1.9
284,Pacific Grove,US,2022-01-24 17:14:20,36.6177,-121.9166,57.97,67,0,1.99
285,Khasan,RU,2022-01-24 17:14:21,42.4308,130.6434,21.54,61,100,4.32
286,Llano De Piedra,PA,2022-01-24 17:14:21,7.6667,-80.5667,84.42,55,18,13.65
