City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
339,Leningradskiy,69.3833,178.4167,-14.57,90,97,1.54,RU,overcast clouds
340,Zapolyarnyy,69.4154,30.8136,16.88,97,100,4.47,RU,overcast clouds
341,Lichinga,-13.3128,35.2406,69.89,94,75,5.75,MZ,thunderstorm
342,Zaysan,47.4667,84.8667,-0.99,84,70,4.47,KZ,broken clouds
343,College,64.8569,-147.8028,-11.42,75,75,0.0,US,snow
344,Vagur,61.4732,-6.8119,42.03,65,52,11.48,FO,broken clouds
345,Monte Azul,-15.155,-42.8747,84.31,55,95,2.64,BR,overcast clouds
346,Yangambi,0.8102,24.4336,79.9,48,91,2.33,CD,overcast clouds
347,Broome,42.2506,-75.833,25.63,57,0,5.01,US,clear sky
348,Vardo,70.3705,31.1107,19.38,79,75,17.27,NO,broken clouds
